,Algorithm,Problem,N_Var,Population_Size,Max_Iteration,Opt_Val,Runtime
0,ABC,Rastrigin,2,10,10000,15.495083902126803,3.9142873287200928
1,ABC,Rastrigin,2,50,10000,7.028166738489594,14.265681552886964
2,ABC,Rastrigin,2,100,10000,5.0701730101927485,26.650590801239012
3,ABC,Rastrigin,2,500,10000,1.871821045371993,142.68237082958223
4,ABC,Rastrigin,2,1000,10000,1.7043504327591996,286.47361195087433
5,ABC,Rastrigin,4,10,10000,42.15608774815139,3.9882364749908445
6,ABC,Rastrigin,4,50,10000,29.44756227963389,14.44776029586792
7,ABC,Rastrigin,4,100,10000,25.470311600237604,27.158263444900513
8,ABC,Rastrigin,4,500,10000,18.577606822296243,142.0758555173874
9,ABC,Rastrigin,4,1000,10000,12.943028238659247,288.51473064422606
10,ABC,Rastrigin,10,10,10000,134.63592779716186,3.3456236839294435
11,ABC,Rastrigin,10,50,10000,119.66587446945319,14.1852472782135
12,ABC,Rastrigin,10,100,10000,105.4503747658069,28.768777418136597
13,ABC,Rastrigin,10,500,10000,86.04824903658135,146.4714177131653
14,ABC,Rastrigin,10,1000,10000,83.46035557927755,294.879813337326
15,ABC,Rastrigin,50,10,10000,830.1012035725747,3.6719443559646607
16,ABC,Rastrigin,50,50,10000,769.5287542750917,15.849368071556091
17,ABC,Rastrigin,50,100,10000,746.3171126212981,31.043815207481384
18,ABC,Rastrigin,50,500,10000,704.9496628785928,154.24799191951752
19,ABC,Rastrigin,50,1000,10000,688.893314213937,308.9295209646225
20,ABC,Styblinski-Tang,2,10,10000,-58.26444747189282,3.636608672142029
21,ABC,Styblinski-Tang,2,50,10000,-72.97128023543391,15.266026902198792
22,ABC,Styblinski-Tang,2,100,10000,-73.27318298457317,29.763999032974244
23,ABC,Styblinski-Tang,2,500,10000,-77.72097785265206,150.73328034877778
24,ABC,Styblinski-Tang,2,1000,10000,-77.909587751343,305.4778902053833
25,ABC,Styblinski-Tang,4,10,10000,-110.48758474037213,3.5911086559295655
26,ABC,Styblinski-Tang,4,50,10000,-128.6905720038663,15.944456362724305
27,ABC,Styblinski-Tang,4,100,10000,-130.0038509109173,29.81355082988739
28,ABC,Styblinski-Tang,4,500,10000,-132.71983402743257,155.27878506183623
29,ABC,Styblinski-Tang,4,1000,10000,-141.3822172860167,294.39721059799194
30,ABC,Styblinski-Tang,10,10,10000,-168.1150704826489,3.5819356441497803
31,ABC,Styblinski-Tang,10,50,10000,-225.62277592125005,16.25971837043762
32,ABC,Styblinski-Tang,10,100,10000,-231.12001991474682,30.831155133247375
33,ABC,Styblinski-Tang,10,500,10000,-270.4671844053857,158.23899359703063
34,ABC,Styblinski-Tang,10,1000,10000,-272.55730450467956,298.96899554729464
35,ABC,Styblinski-Tang,50,10,10000,-584.0596693476134,3.609275698661804
